"Table 6: Football-related arrests by offence type, from 2010-11 season to 2017-18 season",,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,
Back to notes,,,,,,,,,,,,,,,,,,,,England and Wales,,,
,Number,,,,,,,,,Percentage of total (%),,,,,,,,,,,,,
Offence type,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,,Difference between 2016-17 and 2017-18,% change between 2016-17 and 2017-18,,,
Total,"3,089","2,363","2,456","2,273","1,873","1,895","1,638","1,542",,100%,100%,100%,100%,100%,100%,100%,100%,,-96,-6%,,,
Violent disorder,332,273,554,356,294,369,337,303,,11%,12%,23%,16%,16%,19%,21%,20%,,-34,-10%,,,
Public disorder,"1,076",765,791,705,635,583,505,549,,35%,32%,32%,31%,34%,31%,31%,36%,,44,9%,,,
Throwing missiles,64,53,62,57,52,59,91,125,,2%,2%,3%,3%,3%,3%,6%,8%,,34,37%,,,
Racist and indecent chanting,44,23,42,21,33,17,7,15,,1%,1%,2%,1%,2%,1%,0%,1%,,8,-,,,
Pitch incursion ,240,177,155,174,179,188,204,191,,8%,7%,6%,8%,10%,10%,12%,12%,,-13,-6%,,,
Alcohol offences,"1,041",800,549,572,405,373,266,164,,34%,34%,22%,25%,22%,20%,16%,11%,,-102,-38%,,,
Ticket touting,102,107,92,104,56,40,49,23,,3%,5%,4%,5%,3%,2%,3%,1%,,-26,-,,,
Possession of an offensive weapon,38,13,17,13,7,17,14,10,,1%,1%,1%,1%,0%,1%,1%,1%,,-4,-,,,
Possession of pyrotechnics ,8,32,76,188,120,141,111,96,,0%,1%,3%,8%,6%,7%,7%,6%,,-15,-14%,,,
Breach of banning order,74,58,58,42,43,36,19,21,,2%,2%,2%,2%,2%,2%,1%,1%,,2,-,,,
Criminal damage/Offences against the property,70,62,60,41,49,72,35,45,,2%,3%,2%,2%,3%,4%,2%,3%,,10,-,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
